Date,Price
09-08-2017,72.706001
10-08-2017,71.080002
11-08-2017,71.573997
14-08-2017,72.760002
15-08-2017,72.466003
16-08-2017,72.582001
17-08-2017,70.384003
18-08-2017,69.491997
21-08-2017,67.571999
22-08-2017,68.269997
23-08-2017,70.554001
24-08-2017,70.585999
25-08-2017,69.610001
28-08-2017,69.132004
29-08-2017,69.472
30-08-2017,70.636002
31-08-2017,71.18
01-09-2017,71.080002
05-09-2017,69.917999
06-09-2017,68.905998
07-09-2017,70.122002
08-09-2017,68.68
11-09-2017,72.737999
12-09-2017,72.550003
13-09-2017,73.246002
14-09-2017,75.528
15-09-2017,75.961998
18-09-2017,77
19-09-2017,75.019997
20-09-2017,74.781998
21-09-2017,73.295998
22-09-2017,70.218002
25-09-2017,68.998001
26-09-2017,69.050003
27-09-2017,68.194
28-09-2017,67.919998
29-09-2017,68.220001
02-10-2017,68.306
03-10-2017,69.627998
04-10-2017,71.001999
05-10-2017,71.066002
06-10-2017,71.375999
09-10-2017,68.587997
10-10-2017,71.117996
11-10-2017,70.919998
12-10-2017,71.136002
13-10-2017,71.113998
16-10-2017,70.120003
17-10-2017,71.150002
18-10-2017,71.93
19-10-2017,70.362
20-10-2017,69.019997
23-10-2017,67.403999
24-10-2017,67.468002
25-10-2017,65.167999
26-10-2017,65.234001
27-10-2017,64.174004
30-10-2017,64.015999
31-10-2017,66.306
01-11-2017,64.216003
02-11-2017,59.852001
03-11-2017,61.217999
06-11-2017,60.556
07-11-2017,61.209999
08-11-2017,60.877998
09-11-2017,60.598
10-11-2017,60.598
13-11-2017,63.080002
14-11-2017,61.740002
15-11-2017,62.259998
16-11-2017,62.5
17-11-2017,63.009998
20-11-2017,61.748001
21-11-2017,63.562
22-11-2017,62.52
24-11-2017,63.110001
27-11-2017,63.362
28-11-2017,63.509998
29-11-2017,61.507999
30-11-2017,61.77
01-12-2017,61.306
04-12-2017,61.040001
05-12-2017,60.740002
06-12-2017,62.652
07-12-2017,62.248001
08-12-2017,63.026001
11-12-2017,65.781998
12-12-2017,68.206001
13-12-2017,67.806
14-12-2017,67.578003
15-12-2017,68.690002
18-12-2017,67.774002
19-12-2017,66.220001
20-12-2017,65.795998
21-12-2017,66.332001
22-12-2017,65.040001
26-12-2017,63.458
27-12-2017,62.327999
28-12-2017,63.071999
29-12-2017,62.27
02-01-2018,64.106003
03-01-2018,63.450001
04-01-2018,62.924
05-01-2018,63.316002
08-01-2018,67.281998
09-01-2018,66.737999
10-01-2018,66.959999
11-01-2018,67.589996
12-01-2018,67.244003
16-01-2018,68.012001
17-01-2018,69.431999
18-01-2018,68.914001
19-01-2018,70.003998
22-01-2018,70.311996
23-01-2018,70.557999
24-01-2018,69.178001
25-01-2018,67.528
26-01-2018,68.57
29-01-2018,69.905998
30-01-2018,69.164001
31-01-2018,70.862
01-02-2018,69.849998
02-02-2018,68.75
05-02-2018,66.625999
06-02-2018,66.793999
07-02-2018,69
08-02-2018,63.046001
09-02-2018,62.084
12-02-2018,63.146
13-02-2018,64.732002
14-02-2018,64.461998
15-02-2018,66.814003
16-02-2018,67.098
20-02-2018,66.954002
21-02-2018,66.660004
22-02-2018,69.234001
23-02-2018,70.410004
26-02-2018,71.484001
27-02-2018,70.197998
28-02-2018,68.612
01-03-2018,66.185997
02-03-2018,67.024002
05-03-2018,66.669998
06-03-2018,65.639999
07-03-2018,66.459999
08-03-2018,65.82
